channel,spend,revenue,impressions,clicks,conversions,ctr,roas
Email,517,1282.49,252648,38675,4762,15.31,2.48
TikTok,1536,6381.29,267617,20191,217,7.54,4.15
TikTok,3084,6395.29,363450,3255,1760,0.9,2.07
YouTube,4183,23837.58,376057,22340,4210,5.94,5.7
Email,4482,10812.18,349701,43943,3882,12.57,2.41
Instagram,964,3858.8,17219,22909,1559,133.04,4.0
LinkedIn,2500,12423.29,44581,25082,634,56.26,4.97
Instagram,3262,7802.55,270494,14126,3300,5.22,2.39
LinkedIn,4262,12535.66,223326,47704,2833,21.36,2.94
YouTube,4668,21730.78,470600,12057,614,2.56,4.66
Instagram,815,2187.78,321214,3629,2124,1.13,2.68
Meta,1698,6580.39,440081,10768,1479,2.45,3.88
Snapchat,4538,21104.77,128991,32583,307,25.26,4.65
Pinterest,2007,5118.4,308992,31607,2809,10.23,2.55
LinkedIn,2981,13460.54,247696,24173,640,9.76,4.52
TikTok,2861,10927.87,142713,18651,465,13.07,3.82
Pinterest,3406,10563.95,181834,9580,3718,5.27,3.1
LinkedIn,4768,12877.65,255639,37808,2776,14.79,2.7
YouTube,4200,11644.25,470376,34785,1972,7.4,2.77
YouTube,577,1548.17,124244,6690,2832,5.38,2.68
Meta,1017,5501.54,76639,5869,967,7.66,5.41
LinkedIn,3019,7742.13,47093,35153,4419,74.65,2.56
Google,2377,4982.47,60822,45815,1961,75.33,2.1
Twitter,3291,8323.69,145362,29835,1065,20.52,2.53
Meta,3662,8327.59,88579,37037,166,41.81,2.27
Snapchat,3936,9330.19,497187,12340,1251,2.48,2.37
Instagram,4702,16353.24,22616,1720,352,7.61,3.48
Email,3394,12161.1,309228,45359,2218,14.67,3.58
YouTube,3643,10322.41,412535,18421,3981,4.47,2.83
Twitter,4863,10885.14,373881,45360,3016,12.13,2.24
Pinterest,1247,4178.06,414428,5616,4093,1.36,3.35
Snapchat,517,2921.63,393354,38750,4945,9.85,5.65
Meta,3200,7260.76,465074,31115,613,6.69,2.27
Twitter,4265,12878.31,315543,14891,2578,4.72,3.02
TikTok,3675,15556.98,366118,17399,3338,4.75,4.23
Snapchat,1472,5788.76,460356,2400,4580,0.52,3.93
Meta,1045,2554.22,215683,36157,3293,16.76,2.44
Email,3366,10362.44,445181,45960,2138,10.32,3.08
Pinterest,3376,13518.91,288445,37853,93,13.12,4.0
Pinterest,3363,19358.53,318200,12774,2677,4.01,5.76
Instagram,2901,8935.9,366150,18586,463,5.08,3.08
YouTube,1204,5394.3,357444,24089,1373,6.74,4.48
LinkedIn,3834,8766.46,348655,49554,1059,14.21,2.29
YouTube,3681,17691.61,172331,33398,3700,19.38,4.81
Twitter,1151,4838.98,63101,33344,3150,52.84,4.2
Google,2304,13227.35,67538,19224,252,28.46,5.74
Email,666,1595.63,309175,19275,2098,6.23,2.4
YouTube,1341,2926.35,114619,35071,2187,30.6,2.18
TikTok,1280,5077.66,369693,13693,701,3.7,3.97
Google,2753,8767.3,233656,5017,3605,2.15,3.18
Twitter,1140,4603.82,267158,34583,4243,12.94,4.04
Google,4023,17220.56,226296,13622,1379,6.02,4.28
Snapchat,3766,9532.77,370016,12046,3690,3.26,2.53
TikTok,1450,4295.92,230594,8238,1989,3.57,2.96
YouTube,1763,6262.88,260538,31013,4528,11.9,3.55
Twitter,4096,11257.11,291045,26435,4232,9.08,2.75
Google,4873,15528.44,362614,40613,399,11.2,3.19
Google,3456,15970.31,17660,4942,4059,27.98,4.62
TikTok,1420,6734.12,454678,28467,368,6.26,4.74
Instagram,706,1566.38,333921,48490,1998,14.52,2.22
LinkedIn,1030,6144.6,160697,43512,1611,27.08,5.97
Snapchat,1105,3992.75,19235,29187,1399,151.74,3.61
Instagram,2148,6391.34,219951,3841,1741,1.75,2.98
Meta,4961,16168.8,231444,15907,3832,6.87,3.26
Pinterest,4418,10566.92,474669,27090,3883,5.71,2.39
Google,2561,6938.06,209317,14364,1822,6.86,2.71
Twitter,964,5045.55,355366,3135,2784,0.88,5.23
Email,2914,11562.97,295435,35096,4125,11.88,3.97
LinkedIn,2625,10376.67,32617,47679,731,146.18,3.95
Pinterest,2742,11299.9,145199,6931,2667,4.77,4.12
Snapchat,4556,15443.18,79102,41393,1136,52.33,3.39
Google,1996,10298.54,41250,5809,4453,14.08,5.16
Email,3324,13258.82,87976,14719,4767,16.73,3.99
Instagram,693,1827.11,334726,21741,1867,6.5,2.64
Pinterest,3326,16673.39,213258,20029,2723,9.39,5.01
Instagram,3713,19978.71,369395,45255,3389,12.25,5.38
Twitter,894,4555.49,301338,10433,4727,3.46,5.1
Pinterest,2669,6189.29,33649,39150,1459,116.35,2.32
TikTok,1044,4698.42,80656,37784,4218,46.85,4.5
Twitter,946,3475.27,252694,22284,3150,8.82,3.67
Email,1186,6687.98,340165,12114,2411,3.56,5.64
LinkedIn,1728,7295.03,269354,48248,615,17.91,4.22
Pinterest,2224,7822.25,12192,43461,1513,356.47,3.52
Meta,1231,3404.72,25118,43479,1828,173.1,2.77
TikTok,4346,12814.99,175741,1245,1779,0.71,2.95
Email,3253,13548.64,445863,18259,1008,4.1,4.16
Snapchat,3718,19838.31,190258,12249,3528,6.44,5.34
Meta,3843,18394.98,69372,35735,531,51.51,4.79
Meta,2548,6599.7,444405,2419,4062,0.54,2.59
Snapchat,2708,13293.18,59766,33371,4459,55.84,4.91
Google,2352,12107.6,407884,21443,183,5.26,5.15
LinkedIn,2833,13693.16,464800,19341,4997,4.16,4.83
LinkedIn,3987,20675.03,434079,5515,2087,1.27,5.19
YouTube,1792,4841.55,304591,29292,1603,9.62,2.7
YouTube,4935,22516.46,495161,26752,3900,5.4,4.56
TikTok,3405,10018.01,353023,33180,3693,9.4,2.94
LinkedIn,3998,12734.08,263205,32365,613,12.3,3.19
Google,3307,18696.87,170271,33226,930,19.51,5.65
Instagram,4584,24300.67,156857,23725,1323,15.13,5.3
Twitter,4566,15004.26,323492,9139,1712,2.83,3.29
Instagram,2546,8651.43,410015,46374,314,11.31,3.4
TikTok,4917,28611.82,218595,9414,2260,4.31,5.82
Pinterest,3252,15431.47,43370,19949,1945,46.0,4.75
YouTube,2543,12308.04,69107,25220,739,36.49,4.84
Instagram,3755,20213.03,15345,26795,270,174.62,5.38
Snapchat,4435,13296.31,413216,47541,3765,11.51,3.0
Pinterest,2476,14051.22,416052,2245,2868,0.54,5.67
Pinterest,1992,4236.26,269810,33276,2046,12.33,2.13
Pinterest,3187,13213.66,229293,31718,411,13.83,4.15
Google,3511,19275.14,104528,26149,2768,25.02,5.49
Snapchat,4469,10653.72,10723,39864,4030,371.76,2.38
TikTok,1421,6564.42,290658,40129,1828,13.81,4.62
LinkedIn,3911,20164.03,436149,48235,3385,11.06,5.16
Instagram,4595,22060.52,157359,12294,2245,7.81,4.8
Snapchat,2177,9705.69,325534,31623,2457,9.71,4.46
Google,2580,10180.86,133819,21168,2651,15.82,3.95
Twitter,1129,2666.52,75201,20089,4822,26.71,2.36
Meta,1648,5489.92,58263,36817,2117,63.19,3.33
Snapchat,4859,24816.58,328708,28568,4830,8.69,5.11
YouTube,2654,6115.66,162152,43333,4265,26.72,2.3
Meta,3061,13779.59,252015,2483,2966,0.99,4.5
LinkedIn,1892,4589.68,266673,21765,2028,8.16,2.43
TikTok,4119,19217.49,63762,3563,4603,5.59,4.67
YouTube,2347,13941.78,45561,33571,4221,73.68,5.94
YouTube,4848,10897.97,407292,12110,542,2.97,2.25
Twitter,3868,9919.93,269016,41835,1364,15.55,2.56
YouTube,4220,14776.0,39981,42976,4429,107.49,3.5
Meta,1729,3472.94,422464,28541,1256,6.76,2.01
Meta,4510,14195.29,230124,40612,1043,17.65,3.15
Pinterest,4335,25205.62,427114,40327,576,9.44,5.81
YouTube,3817,17402.67,61327,24049,3641,39.21,4.56
Pinterest,2243,9474.34,471465,10319,191,2.19,4.22
TikTok,939,2527.22,89732,17870,2096,19.91,2.69
Instagram,1385,7273.35,487967,11772,2191,2.41,5.25
Google,3057,9449.49,259453,14497,3528,5.59,3.09
Pinterest,716,1488.31,427502,30738,1303,7.19,2.08
Instagram,697,1558.02,353009,13019,1285,3.69,2.24
Twitter,1716,4793.53,330194,26601,4737,8.06,2.79
YouTube,4599,15939.0,151547,32063,651,21.16,3.47
YouTube,4918,11273.32,462699,3819,4076,0.83,2.29
LinkedIn,1861,7179.92,218181,44082,2207,20.2,3.86
YouTube,2118,10257.72,273979,32978,4989,12.04,4.84
YouTube,4181,22522.42,308086,29021,2527,9.42,5.39
Pinterest,1922,8484.42,109159,13919,4043,12.75,4.41
Email,652,2708.87,29125,24742,2031,84.95,4.15
YouTube,4489,18886.02,62174,47570,2166,76.51,4.21
YouTube,2193,12547.12,354381,15219,78,4.29,5.72
Twitter,1215,6275.16,174826,28454,3073,16.28,5.16
YouTube,2197,9380.13,36392,4778,4572,13.13,4.27
Meta,2578,6071.18,455201,45548,1317,10.01,2.35
Email,890,3721.13,456464,35713,50,7.82,4.18
Instagram,2268,11931.9,408508,19036,3710,4.66,5.26
YouTube,2972,7822.1,39712,28795,224,72.51,2.63
Instagram,1587,4287.06,473533,45335,2594,9.57,2.7
YouTube,4798,10362.97,160280,34319,1020,21.41,2.16
Twitter,4334,12299.03,485350,39204,4281,8.08,2.84
LinkedIn,3323,10267.23,382880,42538,3550,11.11,3.09
Instagram,3981,20442.28,155022,3578,2341,2.31,5.13
Email,586,3142.86,193632,26374,1387,13.62,5.36
LinkedIn,1807,8351.01,372045,27091,2847,7.28,4.62
Snapchat,4840,27032.4,140149,1503,1480,1.07,5.59
Email,2317,13363.84,126473,12841,4570,10.15,5.77
Email,1846,4191.83,334433,34978,360,10.46,2.27
Twitter,1758,8511.92,11115,21509,4775,193.51,4.84
Pinterest,1375,6363.28,110713,34947,4586,31.57,4.63
Email,2306,13578.05,73053,32708,260,44.77,5.89
YouTube,1385,8258.41,403113,19243,4649,4.77,5.96
Email,2266,13579.68,377012,2907,2990,0.77,5.99
Pinterest,1987,8473.31,149684,18043,4839,12.05,4.26
LinkedIn,4519,15634.66,344173,27899,568,8.11,3.46
Email,1780,7551.94,216365,24853,1553,11.49,4.24
YouTube,1327,6020.74,59724,6995,3231,11.71,4.54
Snapchat,4008,17542.33,186174,23270,2622,12.5,4.38
Pinterest,2257,12768.76,70161,26055,1046,37.14,5.66
Instagram,1876,7577.24,458559,8495,75,1.85,4.04
Instagram,2703,10064.52,445876,35457,3525,7.95,3.72
Pinterest,4668,18640.75,186992,42611,4182,22.79,3.99
YouTube,3045,17635.65,322964,21252,4292,6.58,5.79
Google,657,2410.74,364336,42101,1118,11.56,3.67
Twitter,3935,20702.47,281681,36250,4732,12.87,5.26
Meta,4164,11945.85,53150,6786,989,12.77,2.87
Snapchat,4983,25916.47,227048,7557,3817,3.33,5.2
Meta,2365,13539.53,322979,1151,2089,0.36,5.72
Email,2415,9824.55,421895,23522,2975,5.58,4.07
Google,3602,12038.89,382339,43052,457,11.26,3.34
Twitter,4419,24606.65,322050,10548,4421,3.28,5.57
Pinterest,4017,14683.28,57311,4323,261,7.54,3.66
LinkedIn,3999,10025.07,125698,35767,958,28.45,2.51
Email,3190,15231.74,465672,45164,3542,9.7,4.77
Google,3359,14410.9,424743,31363,352,7.38,4.29
Instagram,3193,18831.89,177944,5472,3313,3.08,5.9
Instagram,2499,13743.24,78940,13932,478,17.65,5.5
Email,4368,23248.96,42145,15449,1609,36.66,5.32
Instagram,2346,7018.12,246899,19451,2709,7.88,2.99
Pinterest,2800,6302.93,35276,7458,2593,21.14,2.25
Email,2966,7913.47,418534,23645,260,5.65,2.67
Twitter,3493,7046.75,478750,23973,2240,5.01,2.02
Snapchat,764,4488.91,132343,30269,4016,22.87,5.88
Meta,3113,13903.21,18437,30725,2841,166.65,4.47
Pinterest,2758,10251.7,287175,30219,571,10.52,3.72
Twitter,3322,19196.93,280492,44800,324,15.97,5.78
Instagram,880,2516.06,402261,43508,3798,10.82,2.86
Instagram,1450,6386.5,83491,3393,4840,4.06,4.4
Twitter,3429,15906.67,100320,13748,2488,13.7,4.64
Email,2114,11085.92,51139,25489,623,49.84,5.24
Twitter,1114,6071.29,260863,49876,4959,19.12,5.45
Snapchat,2388,5373.22,323342,38701,979,11.97,2.25
Google,2060,7655.26,33914,4443,4795,13.1,3.72
YouTube,3458,9501.56,394772,28150,3921,7.13,2.75
